Game,Sample_score,Sample_reward,MeanScore,Mean_reward,Record
185400,4,-10.45,5.707729234088458,-7.9962215,104
185500,1,-10.4,5.708086253369272,-7.99572,104
185600,3,-9.9,5.707990301724138,-7.9955173,104
185700,4,-11.4,5.707921378567582,-7.995338,104
185800,1,-10.45,5.707626480086114,-7.9952683,104
185900,3,-10.9,5.707213555675094,-7.995376,104
186000,4,-11.45,5.707225806451613,-7.9953213,104
186100,4,-10.9,5.707904352498657,-7.995092,104
186200,2,-10.95,5.707674543501611,-7.994808,104
186300,2,-9.95,5.707638217928073,-7.9946604,104
186400,4,-10.9,5.7074517167381975,-7.994539,104
186500,3,-9.9,5.707158176943699,-7.994519,104
186600,3,-10.45,5.707508038585209,-7.994511,104
186700,4,-10.4,5.707487948580611,-7.994468,104
186800,3,-10.4,5.707789079229122,-7.994208,104
186900,3,-9.9,5.707977528089888,-7.9941826,104
187000,2,-10.45,5.7076256684491975,-7.993873,104
187100,4,-10.95,5.707188669160876,-7.9939666,104
187200,4,-11.45,5.707200854700854,-7.993995,104
187300,4,-10.9,5.706849973304858,-7.9940176,104
187400,12,-7.95,5.706371398078976,-7.9937835,104
187500,44,-8.4,5.707098666666667,-7.9934945,104
187600,4,-10.9,5.707020255863539,-7.9937453,104
187700,4,-10.45,5.707101758124667,-7.9938254,104
187800,3,-10.45,5.706725239616613,-7.9936943,104
187900,1,-9.9,5.706907929749867,-7.9936523,104
188000,2,-10.4,5.707101063829787,-7.9935293,104
188100,4,-9.9,5.706714513556618,-7.9935393,104
188200,2,-9.9,5.706615302869288,-7.993319,104
188300,14,-8.45,5.706473712161444,-7.9931836,104
188400,1,-9.9,5.707133757961784,-7.992983,104
188500,4,-10.9,5.706901856763926,-7.9928284,104
188600,2,-9.9,5.707237539766702,-7.9928074,104
188700,6,-10.5,5.7077106518282985,-7.9922338,104
188800,4,-9.7,5.708188559322034,-7.9919763,104
188900,4,-10.4,5.708295394388565,-7.991545,104
189000,4,-9.95,5.707777777777777,-7.9915133,104
189100,3,-9.95,5.707815970386039,-7.9913373,104
189200,4,-10.4,5.707283298097251,-7.9912934,104
189300,14,-8.45,5.707258320126783,-7.9914646,104
189400,4,-9.9,5.707175290390707,-7.991317,104
189500,4,-11.5,5.706976253298153,-7.991352,104
189600,4,-10.9,5.706708860759494,-7.991335,104
189700,4,-10.4,5.706526093832367,-7.9912395,104
189800,4,-10.5,5.706385669125395,-7.991169,104
189900,13,-8.0,5.706824644549763,-7.9911633,104
190000,14,-8.9,5.708057894736842,-7.9911013,104
190100,4,-10.5,5.707695949500263,-7.9911613,104
190200,4,-10.9,5.708312302839117,-7.990815,104
190300,4,-10.4,5.708617971623752,-7.990819,104
190400,14,-7.9,5.708870798319328,-7.990985,104
190500,2,-9.95,5.708929133858268,-7.991022,104
190600,4,-10.95,5.70890870933893,-7.991023,104
190700,2,-10.0,5.708500262191924,-7.990912,104
190800,12,-8.9,5.709072327044026,-7.9906144,104
190900,4,-10.7,5.7090675746464115,-7.990421,104
191000,4,-11.45,5.7086230366492146,-7.9901767,104
191100,1,-9.9,5.708775510204082,-7.9900503,104
191200,4,-10.25,5.708410041841004,-7.9903197,104
191300,4,-10.9,5.708572922111866,-7.990245,104
191400,2,-10.4,5.70905433646813,-7.990245,104
191500,2,-9.9,5.7094308093994774,-7.9901094,104
191600,4,-10.4,5.709050104384134,-7.9899406,104
191700,4,-10.4,5.708841940532081,-7.9896603,104
191800,4,-10.2,5.708868613138686,-7.9895353,104
191900,4,-10.95,5.708577384054195,-7.9897738,104
192000,4,-10.45,5.708489583333333,-7.989597,104
192100,4,-10.9,5.708438313378449,-7.9896584,104
192200,9,-10.4,5.708678459937565,-7.9894767,104
192300,14,-8.95,5.709204368174727,-7.9895835,104
192400,4,-9.4,5.709256756756757,-7.9897857,104
192500,4,-10.4,5.709392207792208,-7.989737,104
192600,3,-9.95,5.709330218068536,-7.9897857,104
192700,1,-10.4,5.708998443175921,-7.989513,104
192800,4,-10.4,5.708967842323651,-7.9893055,104
192900,6,-10.9,5.708729911871436,-7.98917,104
193000,4,-9.2,5.708424870466321,-7.989015,104
